,"Прізвище, ім`я та по батькові кандидата в депутати",Передвиборна програма,Основні відомості,Округ,Наявність(відсутність) заборгованості зі сплати аліментів,Дата та підстава скасування реєстрації кандидата,Дата реєстрації кандидатом,Висування,Область
0,БевзСвітлана Володимирівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17306pd410f01=27.doc,"народилася 4 листопада 1973 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри електричних станцій та систем, Вінницький національний технічний університет, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.",Одномандатний виборчий округ №11,-, ,20.06.2019,Самовисування,Вінницька область
1,ГижкоАндрій Петрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18708pd410f01=27.doc,"народився 27 червня 1978 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в селі Березино Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",Одномандатний виборчий округ №11,-, ,24.06.2019,"Політична партія ""Європейська Солідарність""",Вінницька область
2,ГорлачовІгор Ярославович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19530pd410f01=27.doc,"народився 31 березня 1984 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",Одномандатний виборчий округ №11,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Вінницька область
3,ДавиденкоГанна Віталіївна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20274pd410f01=27.doc,"народилася 24 травня 1983 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, проректор з наукової та міжнародної діяльності, ВНЗ ""Відкритий міжнародний університет розвитку людини ""Україна"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, самовисування.",Одномандатний виборчий округ №11,-, ,24.06.2019,Самовисування,Вінницька область
4,КістіонВолодимир Євсевійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15335pd410f01=27.doc,"народився 31 травня 1965 року в селі Довжок Ямпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Віце-прем’єр-міністр України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",Одномандатний виборчий округ №11,-, ,12.06.2019,Самовисування,Вінницька область
5,КовальовАндрій Євгенійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21186pd410f01=27.doc,"народився 24 сiчня 1977 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник генерального директора, АТ ""Вінницяобленерго"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",Одномандатний виборчий округ №11,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Вінницька область
6,КудлаєнкоСергій Володимирович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19890pd410f01=27.doc,"народився 13 жовтня 1975 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри менеджменту та адміністрування, Вінницький торговельно-економічний інститут Київського національного торговельно-економічного університету, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",Одномандатний виборчий округ №11,-, ,24.06.2019,Самовисування,Вінницька область
7,ЛепейОлена Володимирівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21393pd410f01=27.doc,"народилася 3 жовтня 1977 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач, Вінницьке відділення навчально-наукового інституту заочного та дистанційного навчання НАВС, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",Одномандатний виборчий округ №11,-, ,25.06.2019,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",Вінницька область
8,ПашковськийМаксим Ігорович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21027pd410f01=27.doc,"народився 24 березня 1983 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Панчер Солюшнс"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",Одномандатний виборчий округ №11,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Вінницька область
9,ПриходькоАнастасія Костянтинівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19319pd410f01=27.doc,"народилася 21 квiтня 1987 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в селі Крюківщина Києво-Святошинського району Київської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",Одномандатний виборчий округ №11,-, ,24.06.2019,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область
10,СкрипченкоВалерій Володимирович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21541pd410f01=27.doc,"народився 6 березня 1975 року в місті Первомайськ Миколаївської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",Одномандатний виборчий округ №11,-, ,25.06.2019,"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область
